"编号","故事名","关联景观","文本形态","体裁","来源或出处","来源URL","备注"
"22","八仙打滑塌","三姑潭北岩面","C","","《瓯海文史资料·旅游文化》总第15辑","http://cppcc.ouhai.gov.cn/art/2013/12/26/art_1257653_3595035.html",""
"23","太上老君十八张金銮椅","全山各山头","C","","新浪财经","https://cj.sina.com.cn/articles/view/5968646248/163c2506802001gd3a","金銮椅信仰未见清代民国文献，最早材料仅追溯到2018—2019年驴友寻石活动，属当代建构叙事；驴友实测十八椅全名录及""张阁老坐过的太师椅""附会版并入本条"
"24","仙岩龙椅（金銮椅之首）","仙岩龙椅石","C","","新浪网","https://k.sina.cn/article_7267012017_1b125cdb100100lus2.html",""
"25","五爪龙脉堪舆（五方五行五脏）","全山","C","","新浪网（""温州大事小情""）","https://k.sina.cn/article_5968646248/163c250680200148oe.html",""
"26","李王尖泥兵泥马战白马将军（应山脉）","李王尖","C","","龙湾区政府官网","http://www.longwan.gov.cn/art/2024/1/12/art_1247121_58976122.html",""
"27","观音送子","香山寺","D→C","","携程；温州网","https://you.ctrip.com/sight/wenzhou153/1488466.html；https://news.66wz.com/system/2015/06/10/104476620.shtml","由D级升为C级；香山寺大悲水、浙南观音道场定性文本及鼓词《南游》观音叙事链并入本条"
"28","鼓词《南游传》观音/陈十四/白蛇洞白蛇精体系","香山寺、白蛇洞","C（曲艺文本）","","温州网","https://news.66wz.com/system/2015/06/10/104476620.shtml",""
"29","陶弘景化鹤、救樵传道","道隐洞","C","","百度百科；正观新闻","https://baike.baidu.com/item/道人洞/13134629；https://wap.zhengguannews.cn/html/zgh/360195.html",""
"30","陶姓道士修炼","道隐洞","D","","百度百科","https://baike.baidu.com/item/道人洞/13134629",""
"31","化成洞唐茶一千二百年（李集植茶）","化成洞","C","","今日头条","https://www.toutiao.com/article/7368276054458335781/",""
"32","顾锡畴隐居","顾公洞","C","","温州市文旅局","https://sty.wenzhou.gov.cn/art/2023/7/10/art_1500200_42801903.html","正史无据；《明史》载其寓居江心寺并被杀；瓯海卷篇目""顾公洞的秘密""并入本条"
"33","老鼠岭闹鼠精","老鼠梯岭","D","","茶山街道征集启事","http://www.1zhengji.com/a/3t7a7qj.html","仅征集启事设问，故事文本查无"
"34","张璁""溪石皆玉色""改名瑶溪","瑶溪","B","","龙湾区政府","https://www.longwan.gov.cn/art/2019/8/27/art_1247146_37286741.html",""
"35","瑶溪玄都洞/玄都紫府","瑶溪","D","","百度百科","https://baike.baidu.com/item/玄都紫府/16816254","实体存疑；道教宇宙论中大罗山玄都紫府属神话空间，瑶溪无对应实体景点，实体对应为明代玄真观"
"36","陈傅良读书台、凿盥手盂","仙岩读书台","B","","《浙江通志》引寺志","https://www.shidianguji.com/book/NLG312001070186/chapter/1li6k84zybig8",""
"37","谢灵运寻三皇井仙迹（""蹑屐梅潭上""）","三皇井、梅雨潭","B","","识典古籍","https://www.shidianguji.com/mid-page/7590514893527613486",""
"38","徐照题罗隐故居（""片水静无尘""）","罗隐洞","B","","百度百科","https://baike.baidu.com/item/题罗隐故居/12568506",""
"39","朱自清""女儿绿""","梅雨潭","C（现代散文）","","温州新闻网","https://news.66wz.com/system/2024/03/28/105628333.shtml",""
"40","张璁告大罗山灵（人神对话体祭文）","大罗山","A","","识典古籍","https://www.shidianguji.com/mid-page/7550425856599097394",""
"41","龙牙竹风雷（人取必有大风雨雷电）","大罗山（未确指何处）","A","","赞宁《笋谱》（维基文库）","https://zh.wikisource.org/zh-hans/筍譜","《笋谱》成书不晚于996年，""大罗山""一名北宋初已见诸文献"
"42","动石（其石特立，触之则动）","大罗山","A","","《明一统志》卷四十八（维基文库）","https://zh.wikisource.org/zh-hans/明一統志_(四庫全書本)/卷48",""
"43","越期断臂化缘修潘渡桥","潘渡桥","A","","《康熙·仙岩寺志》卷二","https://www.shidianguji.com/book/NGJ892411999002301105160/chapter/1lnid3jersyer",""
"44","洪武宝珠放光彻殿","仙岩寺大雄宝殿","A","","《康熙·仙岩寺志》卷二","","来源URL列汇编标""同上卷二""，即寺志卷二页面，无独立古籍直链"
"45","慧光塔飞灯两见（元延祐五年致蕴见塔上飞灯；清康熙间刘公子夜见灯光四次）","慧光塔","A","","《康熙·仙岩寺志》卷十","https://www.shidianguji.com/book/NGJ892411999002301105160/chapter/1lnid40bxqm9a",""
"46","黄帝池水分八派，五折飞瀑为""黄帝时八水之一""","黄帝池、五折飞瀑","A+C","","《读史方舆纪要》卷九十四；温州市文旅局","https://zh.wikisource.org/zh-hans/讀史方輿紀要/卷94；http://sty.wenzhou.gov.cn/art/2024/5/29/art_1500199_18438452.html","""黄帝八水""说最早文本为《读史方舆纪要》""水分八派""，当代以五折瀑比附属后人附会"
"47","龙潭与东海相通","龙虎潭（西潭）","C","","携程旅人动态","https://hk.trip.com/moments/detail/wenzhou-153-145705911/",""
"48","""第一山""得名（海航望山说、横塘山龙形说）","郑宅村第一山摩崖","C","","龙湾区政府","https://www.longwan.gov.cn/art/2023/1/31/art_1229604617_58971480.html",""
"49","美人瀑（渔民妻子望夫化瀑、仙女散花两异文）","美人瀑（白水漈）","C","","温都网；佛教导航","http://www.yrdcpcn.com/c110303/20240912/i203973.phtml；https://www.fjdh.cn/wumin/2010/09/055229128002.html","附""大雨一来泄千丈""民谣"
"50","刘英夜宿天柱寺（指美人瀑""变害为利""，夜宿留诗）","天柱寺、美人瀑","C","","网易","https://www.163.com/dy/article/I7J0I64T0544AW5X.html","属红色叙事"
"51","歇了和尚降毒龙（龙驯舍潭，沙飞水立，俄成平陆）","龙圣禅寺（尖山寺）","A（碑记）+C","","瑞安佛教协会","http://www.rafjxh.net/News_show.asp?cid=2&id=483",""
"52","瓦龙（歇了设""中秋飞瓦龙""计搬瓦上山）","尖山寺","C","","瑞安佛教协会","http://www.rafjxh.net/News_show.asp?cid=2&id=483","瓯海卷篇目""尖山瓦龙""并入本条"
"53","龙洗潭元兵退兵（疑""血染河""而退，茶山免屠）","龙洗潭","C","","网易","https://www.163.com/dy/article/GCTAST870544AW5X.html","附民谚"
"54","丁岙杨梅板障崖母树（嘉靖间崖下一树，嫁接成名）","丁岙板障崖","C","","澎湃新闻","https://www.thepaper.cn/newsDetail_forward_18549773",""
"55","绡笼岩藏宝（卖绡客贪心封洞，绡笼化双岩）","银山绡笼岩","C","","新浪网","https://k.sina.cn/article_5968646248/163c2506802001hld4.html",""
"56","洪杨真君本土英雄（为保卫一方百姓牺牲）","罗胜村洪崖殿","C","","瓯海新闻网","https://www.ohnews.cn/system/2025/03/10/015239848.shtml",""
"57","天河鹊桥·诉堤（牛郎织女地方化）","天河水库鹊桥、诉堤、石牛","C","","搜狐","https://www.sohu.com/a/388711373_100143647","神牛割角化翼，银河鹊桥降放大罗山"
"58","龙脊黄帝乘龙新异文（大臣握角攀龙，龙骨化青山，对应二十四节气）","龙脊","C（网络文学）","","起点中文网","https://www.qdmm.com/chapter/1042777091/827482156/","网络文学创作，入库备""当代异文""分析，不作口述史证"
"59","南仙垟（朱元璋、刘伯温登巽山命名）","三垟湿地","C","","温州市文旅局","https://sty.wenzhou.gov.cn/art/2025/7/31/art_1220466_58931636.html",""
"60","九龙抢珠（娘娘明珠化水莲岛，九河化九龙护珠）","三垟水莲岛","C","","温州新闻网","https://news.66wz.com/system/2024/09/25/105654662.shtml","瓯海卷同名篇目（大罗山九龙地貌）并入本条"
"61","仙女张倪凤（携瓯柑菱角稻种下凡，村以名之）","张严冯村","C","","温州新闻网","https://news.66wz.com/system/2024/09/25/105654662.shtml",""
"62","王由（王梦竹）卖杨梅干","大罗山（永强二都）","C","","瓯海区政协","http://cppcc.ouhai.gov.cn/art/2013/12/26/art_1257653_3595035.html",""
"63","吴德大罗山卖俏（《南游传》人物）","大罗山","C","","瓯海区政协","http://cppcc.ouhai.gov.cn/art/2013/12/26/art_1257653_3595035.html",""
"64","歇马崖李王系马（唐宗室李王过此系马）","歇马崖","C","","温州市文旅局","https://sty.wenzhou.gov.cn/art/2020/8/25/art_1500202_18438496.html",""
"65","洗足潭仙人濯足","洗足潭","C+B","","温州市文旅局；张璁诗","https://sty.wenzhou.gov.cn/art/2020/8/25/art_1500202_18438496.html；https://www.shidianguji.com/book/CADAL02062258/chapter/1latiqbkqry96",""
"66","籰丝潭蛟龙潜渊（""相传未到底""""恐有蛟龙起""）","籰丝潭","A（张璁诗）","","张璁《张文忠公集》（识典古籍）","https://www.shidianguji.com/book/CADAL02062258/chapter/1latiqbkqry96",""
"67","板障潭卧龙潜卧（水深无底，传说有龙）","板障潭（卧龙潭）","C+A","","温州市文旅局；张璁诗","https://sty.wenzhou.gov.cn/art/2020/8/25/art_1500202_18438496.html","与第98条互参：同涉茶山片区卧龙潭，本条为景观志异，第98条为情节性叙事，母题不同故分立"
"68","王母琴台瑶池抚琴（王母仙游抚琴，又名望天台）","王母琴台","C","","温州市文旅局","https://sty.wenzhou.gov.cn/art/2020/8/25/art_1500202_18438496.html",""
"69","鹭鸶潭仙人脚印","鹭鸶潭","C","","温州市文旅局","https://sty.wenzhou.gov.cn/art/2020/8/25/art_1500202_18438496.html",""
"70","石猴峰悟空隐修","石猴峰","C","","温州市文旅局","https://sty.wenzhou.gov.cn/art/2020/8/25/art_1500202_18438496.html",""
"71","玄真观张璁拜师李阶（原为李主事祠）","玄真观","C","","百度百科","https://www.baike.com/wikiid/7674121538147445157",""
"72","张璁瑶溪卧龙叙事链（""卧龙人""""隆中卧""""一决乾坤洗""及《穷源记》授范仲淹语）","瑶溪、罗峰书院","B","","张璁《张文忠公集》（识典古籍）；新浪博客","https://www.shidianguji.com/book/CADAL02062258/chapter/1latiqbkqry96；https://blog.sina.com.cn/s/blog_51a5c8190100a4zc.html",""
"73","百家尖倭患避难（约一百户人家逃至山头）","百家尖","C","","步鹿网；搜狐","https://www.2bulu.com/community/gotohuatinfo.htm?id=l49XlzX0var1nndibrtOeQ%3D%3D；https://www.sohu.com/a/736968436_815476",""
"74","安仁寺圣僧遂川和尚","安仁寺","D","","温州市文旅局","https://sty.wenzhou.gov.cn/art/2023/7/11/art_1500202_18438521.html","与第102条关系待核：逆川智顺为元末明初重建实际寺之高僧，""遂川""或系音近异写，两说并记待原书篇目确认"
"75","流米岩出米（黄巢之乱背景）","流米岩","C","","温都网","https://wap.wendu.cn/article/id/511625","瓯海卷篇目""流米洞""并入本条"
"76","五美园木螺透到京","茶山五美园","D","","bookschina.com（《中国民间故事全书·瓯海卷》目录）","https://m.bookschina.com/9276784.htm","文本待读后升级"
"77","诸家办茶山学堂","茶山","D","","同上","https://m.bookschina.com/9276784.htm","文本待读后升级"
"78","茶山龙船斗黄巡","茶山","D","","同上","https://m.bookschina.com/9276784.htm","文本待读后升级"
"79","九节龙潭","大罗山龙潭","D","","同上","https://m.bookschina.com/9276784.htm","文本待读后升级"
"80","深箩漈的传说","仙岩深箩漈","D","","同上","https://m.bookschina.com/9276784.htm","文本待读后升级"
"81","灵龟听经","仙岩","D","","同上","https://m.bookschina.com/9276784.htm","文本待读后升级"
"82","金鸡岩","大罗山","D","","同上","https://m.bookschina.com/9276784.htm","文本待读后升级"
"83","金岩头","大罗山","D","","同上","https://m.bookschina.com/9276784.htm","文本待读后升级"
"84","鲤屿垟","大罗山","D","","同上","https://m.bookschina.com/9276784.htm","文本待读后升级"
"85","九狮一象的传说","大罗山","D","","同上","https://m.bookschina.com/9276784.htm","文本待读后升级"
"86","清明借水寒露还（龙潭祈雨民俗）","大罗山龙潭","D","","同上","https://m.bookschina.com/9276784.htm","文本待读后升级"
"87","济公延寿寺救尼姑","延寿寺","D","","同上","https://m.bookschina.com/9276784.htm","文本待读后升级"
"88","南柳的由来","茶山南柳村","D","","同上","https://m.bookschina.com/9276784.htm","文本待读后升级"
"89","丹凤姑娘和小白龙","大罗山","D","","同上","https://m.bookschina.com/9276784.htm","文本待读后升级"
"90","陈相智除恶僧","仙岩","D","","同上","https://m.bookschina.com/9276784.htm","文本待读后升级"
"91","慧光塔下空洞，渔父入洞被困","慧光塔","A","","《康熙·仙岩寺志》卷十（潘之彪记）","https://www.shidianguji.com/book/NGJ892411999002301105160/chapter/1lnid40bxqm9a",""
"92","金甲神叱退营葬者","仙岩寺山场","A","","《康熙·仙岩寺志》卷十（潘之彪记）","https://www.shidianguji.com/book/NGJ892411999002301105160/chapter/1lnid40bxqm9a",""
"93","废址夜闻钟磬声","仙岩寺废址","A","","《康熙·仙岩寺志》卷十（潘之彪记）","https://www.shidianguji.com/book/NGJ892411999002301105160/chapter/1lnid40bxqm9a",""
"94","虎驱破戒僧（""或疑虎犹安楞严所系之遗""）","仙岩寺","A","","《康熙·仙岩寺志》卷十（王锡琯寿塔铭，1685）","https://www.shidianguji.com/book/NGJ892411999002301105160/chapter/1lnid40bxqm9a","有""或疑虎犹安楞严所系之遗""一句，将康熙间灵虎叙事直接接上北宋遇安系虎旧典，为语料库内罕见的跨时代自觉续接文本"
"95","巨人金袍守地","仙岩寺","A","","《康熙·仙岩寺志》卷十（王锡琯寿塔铭）","https://www.shidianguji.com/book/NGJ892411999002301105160/chapter/1lnid40bxqm9a",""
"96","天目降生异香","仙岩寺（天目超智本生叙事）","A","本生叙事","《康熙·仙岩寺志》卷十","https://www.shidianguji.com/book/NGJ892411999002301105160/chapter/1lnid40bxqm9a",""
"97","俚语""大罗山落岭——到老是该条路""","大罗山","C","俚语","浙江省政府网站PDF","https://zjjcmspublic.oss-cn-hangzhou-zwynet-d01-a.internet.cloud.zj.gov.cn/jcms_files/jcms1/web2634/site/attach/0/1bf7f2d0a9f94468a5596d1e704f7c1c.pdf","语料库首条俚语类条目"
"98","卧龙潭懒龙（村民敲锣呼喊惊醒懒龙降雨）","茶山卧龙潭","C","","网易","https://dy.163.com/article/FSGQKHDO0544AW5X.html","与第67条互参：同涉茶山片区卧龙潭，本条为情节性叙事，第67条为景观志异，母题不同故分立"
"99","国安寺千佛塔镇锁蛟龙（西海龙王锁蛟于海眼，以塔镇之）","瑶溪皇岙千佛塔","C","","龙湾区政府","https://www.longwan.gov.cn/art/2024/1/16/art_1247121_58976186.html",""
"100","千佛塔镇龟（皇岙地形似龟头，建塔防水患）","瑶溪皇岙千佛塔","C","","龙湾区政府","https://www.longwan.gov.cn/art/2024/1/16/art_1247121_58976186.html",""
"101","十八童子闹古榕","仙南村古榕","D","","乡镇地名网","http://www.tcmap.com.cn/zhejiangsheng/haiqu_xianyanzhen_xiannancun.html",""
"102","逆川和尚的传说（含求雨、牧牛大王）","实际寺、仙岩","D","","百度百科（《中国民间故事全书·浙江·瑞安卷》）","https://baike.baidu.com/item/中国民间故事全书：浙江·瑞安卷/5985977","与第74条关系待核：逆川智顺为元末明初重建实际寺之高僧，""遂川""或系音近异写，两说并记待原书篇目确认"
